ARK | Intel® Product Specification Comparison
08/24/2023 09:02:23 PM
 ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i7-8550U Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i7-8700T Processor ,Intel® Core™ i7-8706G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-12700TE Processor ,Intel® Core™ i7-12700E Processor ,Intel® Core™ i7-12700H Processor ,Intel® Core™ i7-12700 Processor ,Intel® Core™ i7-12700F Processor ,Intel® Core™ i7-12700K Processor ,Intel® Core™ i7-12700KF Processor ,Intel® Core™ i7-12700T Processor ,Intel® Core™ i7-8850H Processor ,Intel® Core™ i7-8700B Processor ,Intel® Core™ i7-8750H Processor ,Intel® Core™ i7-8559U Processor ,Intel® Core™ i7-8086K Processor ,Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics ,Intel® Core™ i7-8565U Processor ,Intel® Core™ i7-8500Y Processor ,Intel® Core™ i7-9700K Processor ,Intel® Core™ i7-9800X X-series Processor ,Intel® Core™ i7-9700KF Processor ,Intel® Core™ i7-9750H Processor ,Intel® Core™ i7-9750HF Processor ,Intel® Core™ i7-9850H Processor ,Intel® Core™ i7-9700T Processor ,Intel® Core™ i7-8569U Processor ,Intel® Core™ i7-9700 Processor ,Intel® Core™ i7-8557U Processor ,Intel® Core™ i7-8665UE Processor ,Intel® Core™ i7-8665U Processor ,Intel® Core™ i7-9700F Processor ,Intel® Core™ i7-9700E Processor ,Intel® Core™ i7-9850HE Processor ,Intel® Core™ i7-9700TE Processor ,Intel® Core™ i7-9850HL Processor ,Intel® Core™ i7-10710U Processor ,Intel® Core™ i7-10510U Processor ,Intel® Core™ i7-10510Y Processor ,Intel® Core™ i7-11370H Processor ,Intel® Core™ i7-11375H Processor ,Intel® Core™ i7-10700T Processor ,Intel® Core™ i7-10700 Processor ,Intel® Core™ i7-10700F Processor ,Intel® Core™ i7-10700KF Processor ,Intel® Core™ i7-10700K Processor ,Intel® Core™ i7-10750H Processor ,Intel® Core™ i7-10810U Processor ,Intel® Core™ i7-10610U Processor ,Intel® Core™ i7-10850H Processor ,Intel® Core™ i7-10875H Processor ,Intel® Core™ i7-10700TE Processor ,Intel® Core™ i7-10700E Processor ,Intel® Core™ i7-10870H Processor ,Intel® Core™ i7-11700K Processor ,Intel® Core™ i7-11700KF Processor ,Intel® Core™ i7-11700T Processor ,Intel® Core™ i7-11700 Processor ,Intel® Core™ i7-11700F Processor ,Intel® Core™ i7-11850H Processor ,Intel® Core™ i7-11600H Processor ,Intel® Core™ i7-11800H Processor ,Intel® Core™ i7-11390H Processor ,Intel® Core™ i7-11850HE Processor ,Intel® Core™ i7-12800HE Processor ,Intel® Core™ i7-12800HX Processor ,Intel® Core™ i7-12800H Processor ,Intel® Core™ i7-12650H Processor ,Intel® Core™ i7-12850HX Processor ,Intel® Core™ i7-12700HL Processor ,Intel® Core™ i7-12650HX Processor ,Intel® Core™ i7-12800HL Processor ,Intel® Core™ i7-13700KF Processor ,Intel® Core™ i7-13700 Processor ,Intel® Core™ i7-13700F Processor ,Intel® Core™ i7-13700T Processor ,Intel® Core™ i7-13700K Processor ,Intel® Core™ i7-13650HX Processor ,Intel® Core™ i7-13700H Processor ,Intel® Core™ i7-13620H Processor ,Intel® Core™ i7-13700TE Processor ,Intel® Core™ i7-13705H Processor ,Intel® Core™ i7-13800HE Processor ,Intel® Core™ i7-13850HX Processor ,Intel® Core™ i7-13800H Processor ,Intel® Core™ i7-13700HX Processor ,Intel® Core™ i7-13700E Processor ,Intel® Core™ i7-13800HRE Processor ,Intel® Core™ i7-6820HK Processor ,Intel® Core™ i7-6820HQ Processor ,Intel® Core™ i7-6920HQ Processor ,Intel® Core™ i7-6820EQ Processor ,Intel® Core™ i7-6822EQ Processor ,Intel® Core™ i7-6970HQ Processor ,Intel® Core™ i7-6785R Processor ,Intel® Core™ i7-6870HQ Processor ,Intel® Core™ i7-6770HQ Processor ,Intel® Core™ i7-6850K Processor ,Intel® Core™ i7-6800K Processor ,Intel® Core™ i7-6900K Processor ,Intel® Core™ i7-6950X Processor Extreme Edition ,Intel® Core™ i7-7500U Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i7-7820EQ Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor ,Intel® Core™ i7-7700HQ Processor ,Intel® Core™ i7-7920HQ Processor ,Intel® Core™ i7-7820HK Processor ,Intel® Core™ i7-7600U Processor ,Intel® Core™ i7-7820HQ Processor ,Intel® Core™ i7-7660U Processor ,Intel® Core™ i7-7560U Processor ,Intel® Core™ i7-7567U Processor 
Intel vPro® Eligibility ‡,,,,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,,,Intel vPro® Enterprise |  Intel vPro® Essentials,Intel vPro® Enterprise |  Intel vPro® Essentials,Intel vPro® Essentials,Intel vPro® Enterprise |  Intel vPro® Essentials,,Intel vPro® Enterprise,,Intel vPro® Enterprise |  Intel vPro® Essentials,Intel vPro® Platform,,,,,Intel vPro® Platform,,,Intel vPro® Platform,,,,,Intel vPro® Platform,Intel vPro® Platform,,Intel vPro® Platform,,Intel vPro® Platform,Intel vPro® Platform,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,,Intel vPro® Platform,,,Intel vPro® Platform,Intel vPro® Platform,,,Intel vPro® Platform,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,Intel vPro® Platform,,Intel vPro® Platform,Intel vPro® Platform,,Intel vPro® Platform,,,,Intel vPro® Platform,Intel vPro® Enterprise,,Intel vPro® Enterprise,,Intel vPro® Enterprise,,,Intel vPro® Enterprise,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,,Intel vPro® Essentials,,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,,,,,,,,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,,Intel vPro® Platform,,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,
Intel® Stable Image Platform Program (SIPP),,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,,Yes,,Yes,,Yes,Yes,No,No,No,No,Yes,,No,Yes,,No,No,No,Yes,Yes,No,Yes,No,,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,,,No,Yes,,,Yes,,Yes,,,,,Yes,,Yes,Yes,,,,Yes,,Yes,,Yes,,Yes,Yes,No,Yes,Yes,,,No,No,No,No,,,,,No,Yes,,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No
Intel® Memory Protection Extensions (Intel® MPX),,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Boot Guard,,,,,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Yes
Intel® Threat Detection Technology (TDT),,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Active Management Technology (AMT) ‡,,,,,,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,,Yes,Yes,No,Yes,,Yes,,Yes,Yes,,,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Standard Manageability (ISM) ‡,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® One-Click Recovery ‡,,,,,,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,Yes,Yes,,,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Hardware Shield Eligibility ‡,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Control-Flow Enforcement Technology,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Total Memory Encryption - Multi Key,,,,,,,,,,,,,No,No,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,,Yes,Yes,No,Yes,,Yes,,Yes,Yes,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Total Memory Encryption,,,,,,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,Yes,,,No,Yes,Yes,No,Yes,,Yes,Yes,No,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode-based Execute Control (MBE),,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® QuickAssist Software Acceleration,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,Yes,Yes,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Remote Platform Erase (RPE) ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,Yes,Yes,,,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,

Processor Graphics
Processor Graphics ‡,,Intel® UHD Graphics 620,,,Intel® UHD Graphics 620,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® Iris® Plus Graphics 655,Intel® UHD Graphics 630,Intel® HD Graphics 630,Intel® UHD Graphics for 8th Generation Intel® Processors,Intel® UHD Graphics 615,Intel® UHD Graphics 630,,,Intel® UHD Graphics 630,,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® Iris® Plus Graphics 655,Intel® UHD Graphics 630,Intel® Iris® Plus Graphics 645,Intel® UHD Graphics 620,Intel® UHD Graphics for 8th Generation Intel® Processors,,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® Iris® Xe Graphics,Intel® Iris® Xe Graphics,Intel® UHD Graphics 630,Intel® UHD Graphics 630,,,Intel® UHD Graphics 630,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® UHD Graphics 750,,Intel® UHD Graphics 750,Intel® UHD Graphics 750,,Intel® UHD Graphics for 11th Gen Intel® Processors,Intel® UHD Graphics for 11th Gen Intel® Processors,Intel® UHD Graphics for 11th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 11th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,,Intel® UHD Graphics 770,,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® Iris® Xe Graphics eligible,Intel® UHD Graphics for 13th Gen Intel® Processors,Intel® UHD Graphics 770,Intel® Iris® Xe Graphics eligible,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® HD Graphics 530,Intel® Iris® Pro Graphics 580,Intel® Iris® Pro Graphics 580,Intel® Iris® Pro Graphics 580,Intel® Iris® Pro Graphics 580,,,,,Intel® HD Graphics 620,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 620,Intel® HD Graphics 630,Intel® Iris® Plus Graphics 640,Intel® Iris® Plus Graphics 640,Intel® Iris® Plus Graphics 650
Graphics Base Frequency,,300 MHz,,,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz,300 MHz,,300 MHz,,300 MHz,,300 MHz,350 MHz,350 MHz,350 MHz,300 MHz,350 MHz,350 MHz,300 MHz,300 MHz,350 MHz,,,350 MHz,,350 MHz,350 MHz,300 MHz,350 MHz,300 MHz,300 MHz,300 MHz,,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz,300 MHz,300 MHz,,,350 MHz,350 MHz,,,350 MHz,350 MHz,300 MHz,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,350 MHz,350 MHz,,350 MHz,350 MHz,350 MHz,,350 MHz,,,,,,,,,,300 MHz,,300 MHz,300 MHz,,,,300 MHz,,,,,,300 MHz,,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,,,,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz,350 MHz,300 MHz,300 MHz,300 MHz
Graphics Max Dynamic Frequency,,1.15 GHz,,,1.15 GHz,1.20 GHz,1.20 GHz,1.20 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.50 GHz,1.50 GHz,1.40 GHz,1.50 GHz,,1.50 GHz,,1.50 GHz,1.15 GHz,1.20 GHz,1.10 GHz,1.20 GHz,1.20 GHz,1.10 GHz,1.15 GHz,1.05 GHz,1.20 GHz,,,1.15 GHz,,1.15 GHz,1.20 GHz,1.20 GHz,1.20 GHz,1.15 GHz,1.15 GHz,1.15 GHz,,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.35 GHz,1.35 GHz,1.20 GHz,1.20 GHz,,,1.20 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.15 GHz,1.20 GHz,1.15 GHz,1.15 GHz,1.20 GHz,1.30 GHz,,1.30 GHz,1.30 GHz,,1.45 GHz,1.45 GHz,1.45 GHz,1.40 GHz,1.35 GHz,1.35 GHz,1.45 GHz,1.40 GHz,1.40 GHz,1.45 GHz,1.40 GHz,1.45 GHz,1.40 GHz,,1.60 GHz,,1.60 GHz,1.60 GHz,1.55 GHz,1.50 GHz,1.50 GHz,1.60 GHz,1.50 GHz,1.40 GHz,1.60 GHz,1.50 GHz,1.55 GHz,1.60 GHz,1.40 GHz,1.05 GHz,1.05 GHz,1.05 GHz,1.00 GHz,1.00 GHz,1.05 GHz,1.15 GHz,1.00 GHz,950 MHz,,,,,1.05 GHz,1.15 GHz,1.00 GHz,1.15 GHz,1.15 GHz,1.10 GHz,1.10 GHz,1.10 GHz,1.15 GHz,1.10 GHz,1.10 GHz,1.05 GHz,1.15 GHz
Graphics Video Max Memory,,32 GB,,,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,,,,,,,,,64 GB,64 GB,64 GB,32 GB,64 GB,64 GB,32 GB,16 GB,64 GB,,,64 GB,,64 GB,64 GB,32 GB,64 GB,32 GB,,32 GB,,128 GB,64 GB,128 GB,64 GB,32 GB,32 GB,16 GB,,,64 GB,64 GB,,,64 GB,,32 GB,32 GB,,,64 GB,64 GB,,64 GB,,64 GB,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,,,,,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB,64 GB,32 GB,32 GB,32 GB
Graphics Output,,eDP/DP/HDMI/DVI,,,eDP/DP/HDMI/DVI,,,eDP/DP/HDMI/DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,eDP 1.4 |  DP 1.2 |  HDMI 1.4 |  DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP 1.4b |  MIPI-DSI 2.0 |  DP 1.4 |  HDMI 2.0b,eDP 1.4b |  MIPI-DSI 2.0 |  DP 1.4 |  HDMI 2.0b,,,,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,,eDP 1.4b |  DP 1.4 |  HDMI 2.0b,eDP 1.4b |  DP 1.4 |  HDMI 2.0b,eDP 1.4b |  DP 1.4 |  HDMI 2.0b,eDP 1.4b |  MIPI-DSI 2.0 |  DP 1.4 |  HDMI 2.0b,eDP 1.4b |  MIPI-DSI 2.0 |  DP 1.4 |  HDMI 2.0b,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.3a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI
4K Support,,Yes |  at 60Hz,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,Yes |  at 60Hz,Yes |  at 60Hz,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz
